epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.632,1.78801,2.7686,1.7247,0.27826,0.28631,0.20509,0.07658,2.14096,2.8082,1.92551,0.000553897,0.000553897,0.000553897
2,181.964,1.86847,2.32305,1.75966,0.25226,0.33384,0.20649,0.07596,2.14792,2.91426,1.99817,0.00108759,0.00108759,0.00108759
3,271.151,1.87131,2.24035,1.77503,0.21346,0.27519,0.16429,0.05835,2.07407,3.06793,1.98272,0.00159929,0.00159929,0.00159929
4,358.75,1.84032,2.17442,1.74608,0.30466,0.36345,0.25877,0.09811,2.0247,2.34946,1.95365,0.00156798,0.00156798,0.00156798
5,447.342,1.78793,2.10051,1.71359,0.38999,0.36484,0.33442,0.1384,1.93872,2.11691,1.75665,0.00153497,0.00153497,0.00153497
6,535.916,1.7734,2.03724,1.68264,0.41313,0.39541,0.35911,0.14028,1.9209,2.1232,1.79256,0.00150197,0.00150197,0.00150197
7,625.02,1.71507,1.98492,1.65261,0.36535,0.38151,0.32994,0.13614,1.92601,2.22554,1.80095,0.00146896,0.00146896,0.00146896
8,713.454,1.7239,1.96001,1.62882,0.36144,0.33426,0.27354,0.11162,2.01702,2.24935,1.94159,0.00143595,0.00143595,0.00143595
9,800.403,1.70867,1.95538,1.63805,0.42542,0.41557,0.37513,0.15946,1.84406,1.9849,1.75246,0.00140295,0.00140295,0.00140295
10,889.421,1.69067,1.90481,1.62963,0.44768,0.38697,0.39001,0.16849,1.86101,2.00201,1.7272,0.00136994,0.00136994,0.00136994
11,978.401,1.66795,1.88476,1.62053,0.45003,0.4191,0.39771,0.17756,1.84056,1.93727,1.76075,0.00133693,0.00133693,0.00133693
12,1067.75,1.67121,1.8745,1.61586,0.4531,0.45587,0.43898,0.19751,1.78294,1.85974,1.67226,0.00130393,0.00130393,0.00130393
13,1157.54,1.64817,1.8733,1.59777,0.43812,0.44128,0.42183,0.19066,1.80188,1.88249,1.71605,0.00127092,0.00127092,0.00127092
14,1246.68,1.64191,1.81506,1.58515,0.50143,0.44871,0.45903,0.20003,1.82686,1.85949,1.69113,0.00123791,0.00123791,0.00123791
15,1335,1.63317,1.81393,1.57674,0.51236,0.42946,0.46011,0.21205,1.76701,1.8214,1.66846,0.00120491,0.00120491,0.00120491
16,1425.04,1.61963,1.7778,1.56933,0.50504,0.44128,0.45575,0.21356,1.7471,1.79074,1.64816,0.0011719,0.0011719,0.0011719
17,1514.58,1.60746,1.76798,1.56971,0.47843,0.46977,0.45309,0.19985,1.78533,1.87909,1.66547,0.00113889,0.00113889,0.00113889
18,1603.87,1.59267,1.75688,1.56228,0.50684,0.48923,0.47587,0.21845,1.74503,1.82508,1.63941,0.00110589,0.00110589,0.00110589
19,1692.47,1.60166,1.74197,1.56112,0.5133,0.5066,0.49241,0.22933,1.74823,1.74542,1.644,0.00107288,0.00107288,0.00107288
20,1779.74,1.57393,1.72471,1.55184,0.53366,0.4934,0.5032,0.23756,1.71998,1.72516,1.62885,0.00103987,0.00103987,0.00103987
21,1869.11,1.56238,1.71027,1.53124,0.51531,0.51286,0.50855,0.23274,1.73285,1.81241,1.62184,0.00100687,0.00100687,0.00100687
22,1957.92,1.56675,1.68492,1.53336,0.5192,0.51981,0.51904,0.24581,1.71818,1.6886,1.60132,0.000973861,0.000973861,0.000973861
23,2045.32,1.54801,1.65984,1.51594,0.53775,0.5182,0.52772,0.25641,1.71585,1.64799,1.61737,0.000940855,0.000940855,0.000940855
24,2131.87,1.54873,1.65824,1.51693,0.54088,0.49479,0.51046,0.24974,1.73047,1.67834,1.63312,0.000907848,0.000907848,0.000907848
25,2219.36,1.52474,1.62678,1.50326,0.52981,0.50521,0.53045,0.26036,1.70718,1.61076,1.59711,0.000874842,0.000874842,0.000874842
26,2307.43,1.52428,1.61222,1.50981,0.57509,0.48853,0.53815,0.2501,1.76043,1.68575,1.64766,0.000841835,0.000841835,0.000841835
27,2394.06,1.50578,1.59396,1.49661,0.53884,0.48151,0.51915,0.24209,1.75306,1.67753,1.66111,0.000808828,0.000808828,0.000808828
28,2481.51,1.51682,1.59312,1.50038,0.60449,0.4795,0.56053,0.27122,1.69585,1.63542,1.60533,0.000775822,0.000775822,0.000775822
29,2569.16,1.49464,1.55148,1.48273,0.57005,0.52259,0.56085,0.27592,1.68881,1.57051,1.59787,0.000742815,0.000742815,0.000742815
30,2657.14,1.4973,1.55206,1.48301,0.54521,0.54899,0.56998,0.281,1.67144,1.57113,1.56643,0.000709809,0.000709809,0.000709809
31,2744.08,1.48642,1.55783,1.4825,0.55448,0.54574,0.56847,0.28408,1.6924,1.55144,1.61048,0.000676802,0.000676802,0.000676802
32,2831.88,1.46533,1.51805,1.47036,0.59057,0.52825,0.5645,0.27595,1.71372,1.58664,1.61332,0.000643795,0.000643795,0.000643795
